Неделя,День,Завтрак,Перекус,Обед,Перекус2,Ужин
,День 1, Овсянка+ягоды ( фрукты) допускается ч л меда, 1 яблоко +чай ( кофе)," Салат с куриной грудкой (100 г курицы, листья салата, помидоры, огурцы,зелень, 1 ст. л. оливкового масла)", Орехи 30гр+чай, Рыба на гриле или пару (200 г) с тушеными овощами
,День 2, Йогурт 2 или 5% (150 г) с ягодами (100 г), Груша + кусочек сыра 30гр +чай (кофе), Гречка  с тушеной курицей  + овощи+ кусочек цельнозернового хлеба, Хлебцы+творожный сыр+ чай, Тушеная говядина  с овощным рагу
,День 3, Омлет с сыром+ овощи+ хлеб (цельнозерновой), 1 банан, Суп без зажарки+ овощи+ кусочек ц/з хлеба, 2 яблока, Индейка (курица без кожи)  с салатом из свежих овощей
,День 4, Тост из цельнозернового хлеба с авокадо и яйцом, 1 апельсин +яблоко, Плов из курицы+ овощной салат, Йогурт +персик, Рыба на пару+ овощи
,День 5, Вареники с картошкой 8-10 шт+ ч л сметаны (можно заменить на греческий йогурт 100-150 гр), Яблоко 2шт," Салат ""Цезарь"" с курицей  с заправкой из йогурта без сухариков -300-350гр", Огурец +яйцо," Куриное филе, запеченное с овощами"
,День 6, Творог 200гр 5%+ ягоды+ ч л меда+ ч л сметаны, Горький шоколад 30-40гр+ чай( кофе), Борщ без зажарки +овощи+ц/з хлеб, Орешки 30гр+чай, Омлет+ овощи
,День 7," Овсяноблин с творожным сыром, ветчиной +овощи", 1 банан - 100 ккал, Соус ( картошка+мясо) +овощи+ хлебец, Ряженка 200мл+яблоко, Запеченная курица без кожи с салатом из свежих овощей
Неделя 2,День1," Рыба,пюре картофельное,овощи, ц/з хлеб кусочек", Зефир 1шт+чай, Уха без зажарки +ц/з хлеб +овощи, Фрукт 2шт (кроме банана и винограда), Яйца вареные2шт +овощи
Неделя 2,День2, Фаршированный перец +овощи +ц/з хлеб, Йогурт +семена чиа +ягоды, Холодец +немного горчицы +ц/з хлеб +овощная закатка, Хлебцы2шт с сыром и ветчиной, Тушеная капуста +котлета/яйцо/рыба на пару
Неделя 2,День 3, Любая молочная каша +ягоды +мед/ +банан, Мандарин +фейхоа, Голубец 2 шт/ фарщированый перец2шт+закатка+ц/з хлеб, Смузи из фруктов, Гречка +котлеты 2шт+лечо
Неделя 2,День 4, Блины с мясом 2-3шт+ ч л сметаны( или гр 100 греческого йогурта)+овощи +зелень, Персики 2 шт, Окрошка +ц/з хлеб, Мягкий творог 125гр, Салат овощной +яйцо
Неделя 2,День 5, Сырники 3 шт ( по размеру немного больше ладони)+мед +чл сметаны +ягоды, Яблоко +миндаль 30гр, Куриная грудка с тушеными овощами +гарнир (любая крупа 3столовые ложки)+хлебец +сыр, Сыр 30гр+капучино без сахара, Курочка с овощами
Неделя 2,День 6, Картошка с мясом тушеные +квашеная капуста +кусочек хлеба, ½ авокадо +помидор +ц/з хлеб с ветчиной/домашней колбасой/суджуком, Зеленый борщ +яблоко, Любая колбаса с предыдущего перекуса +огурец +хлебец, Тушеные овощи +яйцо
Неделя 2,День 7, Овсяноблин +творожный сыр +ветчина +овощи, банан, Плов 250-300гр+огурец+помидор+зелень, Апельсин, Креветки 15 шт+ овощи НЕДЕЛЯ 3
Неделя 2,День1, Кабачковые оладьи 4-5шт (жареные без масла или в духовке)+чесночный соус на греческом йогурте+хлебцы2шт с ветчиной, Мороженое (до 200ккал), Холодец +соленья( соленая капуста/корнишоны/корейская морковка)+ кусочек ц/з хлеба, 2яблока, Мягкий творог 125гр+яйцо+огурец
Неделя 2,День2," Омлет с ветчиной ,сыром +овощи +хлебец", Чернослив 5-7 шт+ряженка200мл, Винегрет 250гр+ тефтели2-3 шт +кусочек ц/з хлеба, Хлебец +ветчина 2 бутерброда, Тушеные грибы +рыба на пару +овощи
Неделя 2,День 3, Рисовая каша +ягоды, ц/з хлеб +творожный сыр +помидор, Гречка +тефтели (котлеты)+овощи +хлебцы 2шт, Огурец +яйцо, Тефтеля +тушеные овощи 200гр
Неделя 2,День4," Макароны по-флотски +овощи, либо паста с морепродуктами", ц/з хлеб +сливочное масло +кусочек сыра, уха без зажарки +зелень, фейхоа 250гр, тушеные грибы +рыба на пару
Неделя 2,День5," Тост из ц/з хлеба с авокадо ,яйцом и ветчиной +листья салата и помидор", Груша +сыр 20гр, Суп с фрикадельками без зажарки +овощи вприкуску, Ягоды любые 150-200гр, Вареная говядина/индейка запеченная +овощной салат
Неделя 2,День 6, Блинчики с творогом 2-3шт+ ч л сметаны (или 100гр йогурта)+ чл меда, Клубника (смородина) 100гр+ мягкий творог 125 гр, Фунчоза с овощами, Яйцо+ стакан кефира, Омлет +овощи
Неделя 2,День 7, Спагетти с томатным соусом и сыром(не более 50гр)+ овощи, Яйцо +огурец, Рататуй 250-300гр+ 2 котлеты + хлебец, Курага5-7шт+ряженка200мл," Как Обед:, без хлебца"
Неделя 4,День1, Мидии /креветки с рисом +любая закатка+хлеб, Сникерс( любой батончик до 200ккал), Гречка +грудка в белом соусе+ овощи, Ряженка 200мл, Грудка в белом соусе +овощи / творог 200гр+ ряженка
Неделя 4,День2, Запеканка с ягодами 200гр+ ч л сметаны ( 100гр греческого йогурта), Грецкий орех 20гр + изюм 20 гр," Салат с тунцом ( тунец в соку,яйцо, огурец или помидор+кукуруза, листья салата, заправка йогурт) 300-400гр+ ц/з хлеб", Абрикосы 4-5 шт, Рыба на гриле + овощной салат
Неделя 4,День 3, Тыквенная каша с молоком + ч л меда, Киви 2шт, Гречневая каша с тушеными грибами и овощами," Овощной салат ( например, морковь +капуста+ оливковое масло)", Овощное рагу (без картофеля)+ рыба на пару/ индейка/ курица
Неделя 4,День 4, Пюре +2котлеты +овощи +2 печенья +чай, Нарезка овощей +хлебец с сыром, Тефтели 2-3шт +свекла отварная200гр+ 2 столовые ложки гарнира (любая крупа), Ряженка+ нектарин, Тушеная капуста+омлет
Неделя 4,День 5, Блинчики 3шт +ч л джема/меда+ ч л сметаны, Апельсин, Селедка+ отварная картошка 2-3шт средних +квашеная капуста, Орешки 30гр, Яйцо+огурец
Неделя 4,День 6, Творожная запеканка 200гр +ч л сметаны (100гр йогурта), Пастила 50гр, Оливье /селедка под шубой 250гр + закатка +хлеб, Мясные нарезки ( ветчина/суджук/язык и тд) + овощи, Капуста тушеная+ кусочек рыбы на пару/индейки
Неделя 4,День 7, Овсянка +яйцо / Овсяноблин с любой начинкой +овощи, Мини круассан 2шт, Солянка +овощи +хлеб ц/з," Кукуруза ( если свежая-1 качан, если консервированная-1/2 банки) + яйцо", Фруктовый салат (яблоко+киви+ груша заправить мягким творогом/греческий йогуртом)
